location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Intercom,Indoor Games,ATM,Maintenance Staff,Staff Quarter,Multipurpose Room,Car Parking,Hospital,School,Shopping Mall,Vaastu Compliant,Cafeteria,Rain Water Harvesting,Golf Course
Yadagirigutta,1899,10000000,INR,1,0,0,"1899 Square feet Plot for sale in Yadagirigutta, Hyderabad. This land has a dimension of 50.0 mt length 36.0 mt width. Price. The width of the facing road is 33.0 mt. The most popular landmarks near this plot are ZPHS Peddakandukur, Durga Tempul, and Millc Kendram",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350,1450000,INR,1,0,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 12177 sqft. The property is available at a price of Rs. 14.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350,1499850,INR,1,0,0,"1350 Square feet Plot for sale in Yadagirigutta, Hyderabad. This land has a dimension of 50.0 mt length 27.0 mt width. Price. The width of the facing road is 50.0 mt. The most popular landmarks near this plot are Durga Tempul, ZPHS Peddakandukur, and Millc Kendram",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,9000,1250000,INR,1,0,0,"1000 Square yard Plot for sale in Yadagirigutta, Hyderabad. This land has a dimension of 50.0 mt length 27.0 mt width. Price. The width of the facing road is 33.0 mt. The most popular landmarks near this plot are ZPHS Peddakandukur, Durga Tempul, and Millc Kendram",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1620,1259820,INR,1,0,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 1620 sqft. The property is available at a price of Rs. 12.60 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350,1950000,INR,1,0,0,"A plot is available at a prime location in Yadagirigutta. It has an area of 1350 sqft. The property is available at a price of Rs. 19.50 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,2700,14100000,INR,1,0,0,"This plot is available for sale and is located in the heart of New chandigarh mohali. It has a salable area of 2700 sqft and is available at a price of Rs. 5,222 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1800,16500000,INR,1,0,0,"A plot is available at a prime location in New chandigarh mohali. It has a salable area of 1800 sqft and is available at a price of Rs. 9,166 per sqft. It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1800,13500000,INR,1,0,0,"A plot property is available for sale in New chandigarh mohali, Chandigarh. It has an area of 1800 sqft. The property is available at a price of Rs. 1.35 cr . Its entry is north facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,2700,22500000,INR,1,0,0,"A plot is available at a prime location in New chandigarh mohali. It has an area of 2700 sqft and is priced at Rs. 2.25 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1089,435479,INR,1,1,0,"This plot is situated in Yadagirigutta. It has an area of 1089 sqft. The property is available at a price of Rs. 4.35 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 68,3600,36000000,INR,1,0,0,"This plot is situated in Sector 68. It has an area of 3600 sqft and is priced at Rs. 3.60 cr . It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,southeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1550,3800000,INR,1,0,0,"A plot property is available for sale in Dhakoli, Chandigarh. It has an area of 1550 sqft. The property is available at a price of Rs. 38.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800,2000000,INR,1,1,0,"This plot is situated in Yadagirigutta, Chandigarh. It has an area of 1800 sqft and is priced at Rs. 20.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,2700,28500000,INR,1,0,0,"A plot is available at a prime location in Sector 79. It has an area of 2700 sqft and is priced at Rs. 2.85 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,southeast,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,2700,21500000,INR,1,0,0,"A plot is available at a prime location in New chandigarh mohali. It has an area of 2700 sqft. The property is available at a price of Rs. 2.15 cr . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1089,484000,INR,1,1,0,"121 Square yard Plot for sale in Yadagirigutta, Hyderabad. This land has a dimension of 12.0 mt length 12.0 mt width. Price. The width of the facing road is 40.0 mt. The most popular landmarks near this plot are ZPHS Peddakandukur, Durga Tempul, and Millc Kendram",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lohgarh,900,5000000,INR,1,1,0,"This plot is situated in Lohgarh. It has an area of 900 sqft. The property is available at a price of Rs. 50.00 lac . It is north facing property. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 77,1160,9200000,INR,1,1,0,"This plot is situated in Sector 77, Chandigarh. It has an area of 1160 sqft and is priced at Rs. 92.00 lac . Its entry is southwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,southwest,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,5445,1000000,INR,1,1,0,"A plot is available at a prime location in Yadagirigutta. It has a salable area of 5445 sqft and is available at a price of Rs. 183 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 77,1125,9500000,INR,1,0,0,"A plot is available for sale in Sector 77, Chandigarh. It has an area of 1125 sqft and is priced at Rs. 95.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,north,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1611,3580000,INR,1,1,0,"This plot is situated in Yadagirigutta. It has a salable area of 1611 sqft and is available at a price of Rs. 2,222 per sqft. It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sunny Enclave,4500,15000000,INR,1,0,0,"This plot is situated in Sunny Enclave. It has an area of 4500 sqft and is priced at Rs. 1.50 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1323,3700000,INR,1,1,0,"This plot is situated in Yadagirigutta. It has an area of 1323 sqft. The property is available at a price of Rs. 37.00 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800,1540000,INR,1,1,0,"A plot is available at a prime location in Yadagirigutta. It has an area of 1800 sqft. The property is available at a price of Rs. 15.40 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1350,9000000,INR,0,0,0,"150 gaj plot available in omaxe phase 3 new chandigarh near ratwara sahib, gated township possession very soon work in full sewing  More About This Property 1350 Square feet Plot for sale in Devi Nagar, Chandigarh. This land has a dimension of 54.0 mt length 25.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 40.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Bajwa Institute, PHC, Mullanpur Garibdas, and Guru Gobind Singh Vidya Mandir Sr. Sec School",1,east,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 74,1530,5900000,INR,1,1,0,,1,east,0,122,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,1350,14900000,INR,1,0,0,"It has a salable area of 1350 sqft and is available at a price of Rs. 11,037 per sqft. It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northwest,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800,1420000,INR,1,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 1800 sqft and is priced at Rs. 14.20 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800,2000000,INR,1,1,0,"A plot is available at a prime location in Yadagirigutta. It has a salable area of 1800 sqft and is available at a price of Rs. 1,111 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 77,1800,20500000,INR,1,1,0,"A plot is available for sale in Sector 77, Chandigarh. It has a salable area of 1800 sqft and is available at a price of Rs. 11,388 per sqft. It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350,1350000,INR,1,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 1350 sqft and is priced at Rs. 13.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Village,8100,2997000,INR,1,1,0,"This plot is situated in Mohali Village, Chandigarh. It has a salable area of 8100 sqft and is available at a price of Rs. 370 per sqft. It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,north,0,5,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350,1100000,INR,1,1,0,This plot is available for sale and is located in the heart of Yadagirigutta. It has a salable area of 1350 sqft and is available at a price of Rs. 814 per sqft. Its entry is west facing. It is situated in the proximity of all the important facilities. Please contact us for more details. ,1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1080,852000,INR,1,0,0,"This plot is available for sale and is located in the heart of Yadagirigutta. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 78,1125,11000000,INR,1,0,0,"This plot is situated in Sector 78, Chandigarh. It has an area of 1125 sqft. The property is available at a price of Rs. 1.10 cr . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,3156,13500000,INR,1,0,0,"3156 Square feet Plot for sale in Devi Nagar, Mohali. This land has a dimension of 39.0 mt length 80.0 mt width. Price. The width of the facing road is 13.0 mt. The most popular landmarks near this plot are Bajwa Institute, PHC, Mullanpur Garibdas, and Guru Gobind Singh Vidya Mandir Sr. Sec School",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350,1275000,INR,1,1,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 1350 sqft and is priced at Rs. 12.75 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
Chandigarh Airport Area,4968,4710000,INR,1,0,0,"This plot is available for sale and is located in the heart of Chandigarh Airport Area. It has a salable area of 4968 sqft and is available at a price of Rs. 948 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1080,850000,INR,1,1,0,"This plot is available for sale and is located in the heart of Yadagirigutta. It has an area of 1080 sqft and is priced at Rs. 8.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1323,1102500,INR,1,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 1323 sqft and is priced at Rs. 11.02 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 69,1800,15500000,INR,1,0,0,"8 Marla plot available for sale in sector 69 Mohali More About This Property 1800 Square feet Plot for sale in Sector 69, Mohali. This land has a dimension of 60.0 mt length 30.0 mt width. Price. There are 1 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Shemrock School, Nanhe Manke International School, and Doon International School",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1000,1000000,INR,1,1,0,"This plot is situated in Yadagirigutta, Chandigarh. It has a salable area of 1000 sqft and is available at a price of Rs. 1,000 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1089,544500,INR,1,1,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 1089 sqft. The property is available at a price of Rs. 5.45 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Chandigarh Airport Area,1800,9500000,INR,0,1,0,"This plot is situated in Chandigarh Airport Area. It has an area of 1800 sqft. The property is available at a price of Rs. 95.00 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1800,12400000,INR,0,1,0,"This plot is situated in New chandigarh mohali, Chandigarh. It has an area of 1800 sqft. The property is available at a price of Rs. 1.24 cr . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,3600,41500000,INR,1,0,0,"A plot property is available for sale in Sector 79, Chandigarh. It has an area of 3600 sqft. The property is available at a price of Rs. 4.15 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1485,1155000,INR,0,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 1485 sqft. The property is available at a price of Rs. 11.55 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1120,5600000,INR,1,0,0,"This plot is situated in Dhakoli, Chandigarh. It has an area of 1120 sqft and is priced at Rs. 56.00 lac . It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,southeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,2178,1550000,INR,1,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 2178 sqft. The property is available at a price of Rs. 15.50 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1503,2446000,INR,1,1,0,This plot is available for sale and is located in the heart of Yadagirigutta. It has an area of 1500 sqft and is priced at Rs. 24.46 lac . Its entry is northeast facing. The society is well connected by different modes of transportation. Contact us for more details. ,1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Village,2763,12900000,INR,1,0,0,"This plot is situated in Mohali Village. It has an area of 2763 sqft and is priced at Rs. 1.29 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 34,2250,45000000,INR,1,0,0,"This plot is situated in Sector 34, Chandigarh. It has an area of 2250 sqft. The property is available at a price of Rs. 4.50 cr . It is north facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,3600,28000000,INR,1,0,0,"This plot is available for sale and is located in the heart of New chandigarh mohali. It has an area of 3600 sqft and is priced at Rs. 2.80 cr . Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,4275,23499675,INR,1,0,0,"This plot is situated in New chandigarh mohali, Chandigarh. It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,southeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,3600,41000000,INR,1,1,0,"This plot is situated in Sector 79, Chandigarh. It has an area of 3600 sqft. The property is available at a price of Rs. 4.10 cr . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1701,3780000,INR,1,1,0,"A plot is available at a prime location in Yadagirigutta. It has an area of 1701 sqft. The property is available at a price of Rs. 37.80 lac . Its entry is north facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sunny Enclave,2160,7200000,INR,1,1,0,"A plot is available for sale in Sunny Enclave, Chandigarh. It has an area of 2160 sqft and is priced at Rs. 72.00 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,west,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1503,2310000,INR,1,1,0,"This plot is available for sale and is located in the heart of Yadagirigutta. It has an area of 1503 sqft. The property is available at a price of Rs. 23.10 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,1350,12500000,INR,1,0,0,"1350 Square feet Plot for sale in Sector 79, Mohali. This land has a dimension of 50.0 mt length 27.0 mt width. Price. The width of the facing road is 40.0 mt. The most popular landmarks near this plot are High School, Clinic - Dr. Ranjit Bajwa (Internal Medicine), and Sood Foods Private Limited",1,,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,2160,1704000,INR,1,0,0,"This plot is situated in Yadagirigutta. It has a salable area of 2160 sqft and is available at a price of Rs. 788 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350,1285000,INR,1,1,0,"It has an area of 1350 sqft and is priced at Rs. 12.85 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1440,2399840,INR,1,1,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 1440 sqft and is priced at Rs. 24.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1330,9300000,INR,0,1,0,"This plot is available for sale and is located in the heart of New chandigarh mohali. It has an area of 1330 sqft. The property is available at a price of Rs. 93.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1818,3939000,INR,1,1,0,"It has an area of 1818 sqft. The property is available at a price of Rs. 39.39 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,11880,1249000,INR,1,1,0,"This plot is available for sale and is located in the heart of Yadagirigutta. It has an area of 11880 sqft and is priced at Rs. 12.49 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 80,1800,6000000,INR,1,0,0,"It has a salable area of 1800 sqft and is available at a price of Rs. 3,333 per sqft. Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,northeast,0,6,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Lohgarh,900,4190000,INR,0,1,0,A plot is available at a prime location in Lohgarh. It has an area of 900 sqft. The property is available at a price of Rs. 41.90 lac . It is facing north direction. It is well connected to the city areas. Please contact for more details. ,1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1818,3939000,INR,1,1,0,"This plot is situated in Yadagirigutta. It has a salable area of 1818 sqft and is available at a price of Rs. 2,166 per sqft. It is facing east direction. It is well connected to the city areas. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1350,8500000,INR,1,0,0,"1350 Square feet Plot for sale in Devi Nagar, Mohali. This land has a dimension of 52.0 mt length 26.0 mt width. Price. The plot is North-East facing. There are 1 open sides for this plot. The width of the facing road is 40.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Bajwa Institute, PHC, Mullanpur Garibdas, and Guru Gobind Singh Vidya Mandir Sr. Sec School",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
